Longitude,Latitude,Description
19.05807,47.473948,0
19.05807,47.473947,1
19.05807,47.473947,2
19.058065,47.473943,3
19.058065,47.473943,4
19.058068,47.473938,5
19.058072,47.473937,6
19.058072,47.473937,7
19.058072,47.473937,8
19.058075,47.473935,9
19.058082,47.473932,10
19.058082,47.473930,11
19.058082,47.473930,12
19.058082,47.473930,13
19.058082,47.473930,14
19.058082,47.473935,15
19.058085,47.47393,16
19.058085,47.47393,17
19.058087,47.47393,18
19.058087,47.47393,19
