Longitude,Latitude,Description
19.057943,47.473863,0
19.057942,47.473863,1
19.057942,47.473863,2
19.057942,47.473862,3
19.057942,47.473862,4
19.057940,47.473862,5
19.057940,47.473862,6
19.057940,47.473862,7
19.057938,47.473862,8
19.057938,47.473862,9
19.057937,47.473860,10
19.057937,47.473860,11
19.05793,47.473860,12
19.05793,47.473860,13
19.057932,47.473858,14
19.057932,47.473858,15
19.057930,47.473858,16
19.057930,47.473858,17
19.057930,47.473858,18
19.057930,47.473858,19
19.057927,47.473858,20
19.057927,47.473858,21
19.057923,47.473857,22
19.057923,47.473857,23
19.057920,47.473857,24
19.057920,47.473857,25
19.057918,47.473857,26
19.057918,47.473857,27
19.057915,47.473857,28
19.057915,47.473857,29
19.057915,47.473857,30
19.057912,47.473857,31
19.057912,47.473857,32
19.057897,47.473858,33
19.057897,47.473858,34
19.057893,47.473858,35
19.057893,47.473858,36
19.057890,47.473858,37
19.057873,47.473862,38
19.057873,47.473862,39
19.057870,47.473862,40
19.057870,47.473862,41
19.057868,47.473862,42
19.057855,47.473863,43
19.057852,47.473863,44
19.057852,47.473863,45
19.057852,47.473863,46
19.057848,47.473863,47
19.057835,47.473865,48
19.057835,47.473865,49
19.0578,47.47387,50
19.0578,47.47387,51
19.0578,47.47387,52
19.057825,47.473870,53
19.057823,47.473872,54
19.057823,47.473872,55
19.057823,47.473872,56
19.057823,47.473872,57
19.057818,47.473873,58
19.057818,47.473873,59
19.057818,47.473873,60
19.057818,47.473873,61
19.057818,47.473873,62
19.05782,47.473873,63
19.057815,47.473873,64
19.057815,47.473873,65
19.057815,47.473873,66
19.057815,47.473873,67
19.05782,47.473873,68
19.05782,47.473873,69
19.05782,47.473873,70
19.05782,47.473873,71
19.05782,47.473873,72
19.05782,47.473873,73
19.05782,47.473873,74
19.05782,47.473873,75
19.05782,47.473873,76
19.05782,47.473873,77
19.05782,47.473875,78
19.05782,47.473875,79
19.05782,47.473875,80
19.05782,47.473875,81
19.05782,47.473875,82
19.05782,47.473875,83
19.05782,47.473875,84
19.05782,47.473875,85
19.05782,47.473875,86
19.05782,47.473875,87
19.05782,47.473875,88
19.05782,47.473875,89
19.05782,47.473875,90
19.05782,47.473875,91
19.05782,47.473875,92
19.05782,47.473875,93
19.05782,47.473875,94
19.05782,47.473875,95
19.05782,47.473875,96
19.05782,47.473875,97
19.05782,47.473875,98
19.05782,47.473875,99
19.05782,47.473875,100
19.05782,47.473875,101
19.05782,47.473875,102
